Sample,REP,COL, S, N,H'
F20%,1,B,2,3,  0.6365
F20%,2,B,6,6,1.792
F20%,3,B,3,3,1.099
F20%,4,B,8,9,2.043
F20%,1,C,10,12,2.254
F20%,2,C,13,18,2.476
F20%,3,C,4,5,1.332
F20%,4,C,10,11,2.272
F40%,1,A,3,9,   0.995
F40%,2,A,5,7,1.475
F40%,3,A,8,9,2.043
F40%,4,A,7,8,1.906
F40%,1,B,8,31,1.465
F40%,2,B,5,5,1.609
F40%,3,B,6,7,1.748
F40%,1,C,5,7,    1.55
F40%,2,C,5,7,    1.55
F40%,3,C,14,14,2.639
F40%,4,C,5,5,1.609
F60%,1,B,4,5,1.332
F60%,2,B,7,9,1.889
F60%,3,B,2,2,  0.6931
F60%,4,B,5,5,1.609
F60%,1,C,21,41,2.721
F60%,2,C,14,27,2.361
F60%,3,C,18,28,2.748
F60%,4,C,23,45,    2.66
F80%,1,A,25,45,2.982
F80%,2,A,14,18,2.524
F80%,3,A,26,70,2.634
F80%,4,A,16,39,2.365
F80%,1,B,13,31,2.408
F80%,2,B,6,10,1.643
F80%,3,B,5,10,1.557
F80%,4,B,7,16,1.721
F80%,1,C,1,1,0
F80%,2,C,1,1,0
F80%,3,C,1,1,0
