TRATAMENTO,REP,COL,S,N,H
20F,1,B,2,3,0.6365
20F,2,B,6,6,1.792
20F,3,B,3,3,1.099
20F,4,B,8,9,2.043
20F,1,C,10,12,2.254
20F,2,C,13,18,2.476
20F,3,C,4,5,1.332
20F,4,C,10,11,2.272
20F,1,A,9,15,1.987
20F,2,A,13,17,2.476
20F,3,A,11,13,2.352
20F,4,A,18,28,2.682
20F,1,B,13,15,2.523
20F,2,B,6,6,1.792
20F,3,B,10,11,2.272
20F,4,B,6,6,1.792
20F,1,C,4,6,1.33
20F,2,C,8,8,2.079
20F,3,C,7,10,1.834
20F,4,C,1,1,0
20F,1,A,18,23,2.811
20F,2,A,16,26,2.631
20F,3,A,7,9,1.831
20F,4,A,9,13,2.098
20F,1,B,17,47,2.44
20F,2,B,17,38,2.366
20F,3,B,9,25,1.847
20F,4,B,20,55,2.48
20F,1,C,13,28,2.313
20F,2,C,6,9,1.677
20F,3,C,2,5,0.5004
20F,4,C,9,14,2.045
40F,1,A,3,9,0.995
40F,2,A,5,7,1.475
40F,3,A,8,9,2.043
40F,4,A,7,8,1.906
40F,1,B,8,31,1.465
40F,2,B,5,5,1.609
40F,3,B,6,7,1.748
40F,1,C,5,7,1.55
40F,2,C,5,7,1.55
40F,3,C,14,14,2.639
40F,4,C,5,5,1.609
40F,1,A,15,18,2.659
40F,2,A,19,24,2.867
40F,3,A,3,3,1.099
40F,4,A,0,0,0
40F,1,C,9,12,2.138
40F,2,C,9,10,2.164
40F,3,C,12,17,2.425
40F,4,C,18,25,2.71
40F,1,A,2,2,0.6931
40F,2,A,8,11,1.972
40F,3,A,7,9,1.889
40F,1,B,7,14,1.567
40F,2,B,7,15,1.58
40F,3,B,22,56,2.835
40F,4,B,16,22,2.626
40F,1,C,11,23,2.22
40F,2,C,8,10,2.025
60F,1,B,4,5,1.332
60F,2,B,7,9,1.889
60F,3,B,2,2,0.6931
60F,4,B,5,5,1.609
60F,1,C,21,41,2.721
60F,2,C,14,27,2.361
60F,3,C,18,28,2.748
60F,4,C,23,45,2.66
60F,1,A,7,8,1.906
60F,2,A,6,6,1.792
60F,3,A,13,20,2.415
60F,4,A,16,17,2.752
60F,1,B,11,16,2.307
60F,2,B,5,9,1.303
60F,3,B,3,3,1.099
60F,4,B,7,7,1.946
60F,1,C,1,1,0
60F,2,C,4,4,1.386
60F,3,C,3,4,1.04
60F,4,C,7,9,1.889
80F,1,A,25,45,2.982
80F,2,A,14,18,2.524
80F,3,A,26,70,2.634
80F,4,A,16,39,2.365
80F,1,B,13,31,2.408
80F,2,B,6,10,1.643
80F,3,B,5,10,1.557
80F,4,B,7,16,1.721
80F,1,C,1,1,0
80F,2,C,1,1,0
80F,3,C,1,1,0
